id_filme,titulo,data_lancamento,media_avaliacoes,numero_avaliacoes,popularidade,idioma_original,generos,diretor,roteirista
574475,Premonição 6: Laços de Sangue,2025-05-14,7.224,918,1188.6795,en,"Terror, Mistério",Zach Lipovsky,Guy Busick
1087891,Operação Vingança,2025-04-09,6.923,536,434.635,en,"Thriller, Ação",James Hawes,Ken Nolan
1426776,Até a Última Gota,2025-06-05,8.062,517,413.0641,en,"Thriller, Drama, Crime",Tyler Perry,Tyler Perry
552524,Lilo & Stitch,2025-05-17,7.1,656,396.4945,en,"Família, Ficção científica, Comédia, Aventura",Dean Fleischer Camp,Chris Kekaniokalani Bright
1376434,Predador: Assassino de Assassinos,2025-06-05,7.985,537,319.7858,en,"Animação, Ação, Ficção científica",Dan Trachtenberg,Micho Rutare
1087192,Como Treinar o Seu Dragão,2025-06-06,8.0,290,337.3904,en,"Ação, Família, Fantasia",Dean DeBlois,Dean DeBlois
870028,O Contador 2,2025-04-23,7.223,833,276.0523,en,"Mistério, Crime, Thriller",Gavin O'Connor,Bill Dubuque
1379587,Um Lugar Chamado Utopia,2024-12-09,5.162,34,275.7953,en,"Mistério, Thriller, Ação, Ficção científica",James Bamford,Ian Neligh
1239193,Improvisação Perigosa,2025-06-12,6.757,136,265.659,en,"Ação, Comédia, Crime",Tom Kingsley,Alexander Owen
1289601,Vida Após a Luta,2024-06-07,7.027,37,228.1121,en,"Ação, Drama, Thriller",Bren Foster,Bren Foster
1233413,Pecadores,2025-04-16,7.56,1529,216.1022,en,"Terror, Thriller, Fantasia",Ryan Coogler,Ryan Coogler
1017163,Força Bruta: Punição,2024-04-24,6.8,139,195.0836,ko,"Ação, Crime, Drama, Thriller, Comédia",Heo Myeong-haeng,Oh Sang-ho
1315988,Mikaela,2025-01-31,6.196,51,174.0253,es,"Ação, Thriller",Daniel Calparsoro,Arturo Ruiz Serrano
1450599,K.O.,2025-06-05,6.539,127,175.3819,fr,"Ação, Drama, Aventura",Antoine Blossier,Antoine Blossier
1225916,3ão - Uma História Sem Fim,2023-12-11,8.375,4,154.1171,pt,"Família, Aventura",Luís Felipe,Luís Felipe
666154,Kayara - A Princesa Inca,2025-01-02,7.6,47,174.0132,en,"Aventura, Animação, Família",Cesar Zelada,Brian Cleveland
950387,Um Filme Minecraft,2025-03-31,6.509,1808,173.5291,en,"Família, Comédia, Aventura, Fantasia",Jared Hess,Chris Galletta
541671,Bailarina - Do Universo de John Wick,2025-06-04,7.073,317,146.4549,en,"Ação, Thriller, Crime",Len Wiseman,Shay Hatten
575265,Missão: Impossível - O Acerto Final,2025-05-17,7.159,804,126.3669,en,"Ação, Aventura, Thriller",Christopher McQuarrie,Christopher McQuarrie
1197306,Resgate Implacável,2025-03-26,6.681,1252,113.0772,en,"Ação, Crime, Thriller",David Ayer,Sylvester Stallone
1097311,Echo Valley,2025-06-13,6.448,106,117.1462,en,"Thriller, Drama",Michael Pearce,Brad Ingelsby
1284120,A Meia-irmã Feia,2025-03-07,7.102,182,114.1627,no,"Terror, Comédia, Fantasia, Drama",Emilie Blichfeldt,Emilie Blichfeldt
447273,Branca de Neve,2025-03-12,4.282,1136,112.0483,en,"Família, Fantasia",Marc Webb,Erin Cressida Wilson
757725,Shadow Force – Sentença de Morte,2025-05-01,6.372,78,97.1359,en,"Ação, Drama, Thriller",Joe Carnahan,Leon Chills
1225915,Ladrão de Joias: Começa o Assalto,2025-04-24,6.721,61,68.851,hi,"Ação, Thriller",Kookie Gulati,David Logan
1396122,তান্ডব,2025-06-07,8.3,3,91.9417,bn,"Ação, Thriller",Raihan Rafi,Adnan Adib Khan
1241436,Tempo de Guerra,2025-04-09,7.188,577,87.2654,en,"Guerra, Ação",Ray Mendoza,Alex Garland
1241982,Moana 2,2024-11-21,7.1,2473,98.0325,en,"Animação, Aventura, Família, Comédia",Dana Ledoux Miller,Dana Ledoux Miller
10191,Como Treinar o Seu Dragão,2010-03-18,7.845,13491,87.8709,en,"Fantasia, Aventura, Animação, Família",Chris Sanders,Dean DeBlois
1403735,లైలా,2025-02-14,4.75,4,87.6565,te,"Comédia, Romance",Ram Narayan,Vasudeva Murthy
1100988,Extermínio: A Evolução,2025-06-18,8.0,26,86.7855,en,"Terror, Thriller, Ficção científica",Danny Boyle,Alex Garland
986056,Thunderbolts*,2025-04-30,7.4,1136,85.1639,en,"Ação, Ficção científica, Aventura",Jake Schreier,Eric Pearson
1199974,Párvulos: Hijos Del Apocalipsis,2024-10-18,6.929,21,76.168,es,Terror,Isaac Ezban,Isaac Ezban
1232933,Terror no Rio,2025-05-02,6.647,58,75.2214,en,"Terror, Ação, Aventura, Thriller",Matthew Holmes,Matthew Holmes
1449951,Blancanieves y los 7 enanitos,2025-03-07,5.5,4,83.9565,en,"Animação, Família, Fantasia",Michael Johnson,Joe Roche
1411773,The Last Stand of Ellen Cole,2024-10-18,8.119,21,70.234,en,"Ação, Aventura",Clif Prowse,Tim Walker
822119,Capitão América: Admirável Mundo Novo,2025-02-12,6.1,2186,76.3916,en,"Ação, Thriller, Ficção científica",Julius Onah,Julius Onah
1232546,Until Dawn: Noite de Terror,2025-04-23,6.561,686,69.7389,en,"Terror, Mistério",David F. Sandberg,Blair Butler
1011477,Karatê Kid: Lendas,2025-05-08,6.87,146,70.7826,en,"Ação, Aventura, Drama",Jonathan Entwistle,Rob Lieber
1411773,The Last Stand of Ellen Cole,2024-10-18,8.119,21,70.234,en,"Ação, Aventura",Clif Prowse,Tim Walker
1232546,Until Dawn: Noite de Terror,2025-04-23,6.56,687,69.7389,en,"Terror, Mistério",David F. Sandberg,Blair Butler
1225915,Ladrão de Joias: Começa o Assalto,2025-04-24,6.721,61,68.851,hi,"Ação, Thriller",Kookie Gulati,David Logan
82702,Como Treinar o seu Dragão 2,2014-06-05,7.674,9871,68.5042,en,"Fantasia, Ação, Aventura, Animação, Comédia, Família",Dean DeBlois,Dean DeBlois
947891,Meu Eu do Futuro,2024-09-13,6.85,331,62.8952,en,"Comédia, Drama",Megan Park,Megan Park
589018,Sauvages,2024-10-16,6.978,23,61.672,fr,"Aventura, Animação, Drama, Família",Claude Barras,Claude Barras
