id_filme,titulo,data_lancamento,media_avaliacoes,numero_avaliacoes,popularidade,sinopse,idioma_original,generos,diretor,roteirista
574475,Premonição 6: Laços de Sangue,2025-05-14,7.224,918,1188.6795,"Atormentada por um pesadelo violento recorrente, a estudante universitária Stefanie volta para casa para encontrar a única pessoa que pode quebrar o ciclo e salvar sua família do destino horrível que inevitavelmente os aguarda.",en,"Terror, Mistério",Zach Lipovsky,Guy Busick
1087891,Operação Vingança,2025-04-09,6.923,536,434.635,"Depois que sua esposa é tragicamente morta em um ataque terrorista em Londres, um criptógrafo da CIA exige que seus chefes vão atrás dos assassinos. Quando fica claro que eles não agirão devido a prioridades internas conflitantes, ele chantageia a agência para treiná-lo e deixá-lo ir atrás deles sozinho.",en,"Thriller, Ação",James Hawes,Ken Nolan
1426776,Até a Última Gota,2025-06-05,8.062,517,413.0641,"Até onde ela vai aguentar? Após um dia devastador, uma mãe solo dedicada chega ao seu limite e comete um ato de desespero que ninguém poderia prever.",en,"Thriller, Drama, Crime",Tyler Perry,Tyler Perry
552524,Lilo & Stitch,2025-05-17,7.1,656,396.4945,"Stitch, um alienígena, chega ao planeta Terra após fugir de sua prisão e tenta se passar por um cachorro para se camuflar. As coisas mudam quando Lilo, uma travessa menina, o adota de um abrigo de animais. Juntos, eles aprendem os valores da amizade e família.",en,"Família, Ficção científica, Comédia, Aventura",Dean Fleischer Camp,Chris Kekaniokalani Bright
1376434,Predador: Assassino de Assassinos,2025-06-05,7.985,537,319.7858,"Essa antologia animada original acompanha três dos guerreiros mais determinados da história da humanidade: uma pirata viking que guia o filho em uma busca sangrenta por vingança, um ninja no Japão feudal que se volta contra o irmão samurai em uma batalha brutal pela sucessão e um piloto da Segunda Guerra Mundial que voa para investigar uma ameaça sobrenatural à causa aliada.",en,"Animação, Ação, Ficção científica",Dan Trachtenberg,Micho Rutare
1087192,Como Treinar o Seu Dragão,2025-06-06,8.0,290,337.3904,"Filho cheio de imaginação, mas negligenciado, do Chefe Stoico, Soluço desafia séculos de tradição quando faz amizade com Banguela, um temido dragão Fúria da Noite. Seu vínculo improvável revela a verdadeira natureza dos dragões, desafiando os próprios fundamentos da sociedade viking. Com a feroz e ambiciosa Astrid e o peculiar ferreiro Bocão Bonarroto ao seu lado, Soluço confronta um mundo dilacerado pelo medo e por mal-entendidos. Quando uma antiga ameaça reaparece, colocando em perigo tanto os vikings quanto os dragões, a amizade de Soluço e Banguela se torna a chave para forjar um novo futuro. Juntos, eles devem trilhar o delicado caminho em direção à paz, ultrapassando os limites de seus mundos e redefinindo o que significa ser herói e líder.",en,"Ação, Família, Fantasia",Dean DeBlois,Dean DeBlois
870028,O Contador 2,2025-04-23,7.223,833,276.0523,"Quando um conhecido é assassinado, deixando para trás uma mensagem enigmática, Christian Wolff se sente compelido a resolver o caso. Percebendo que medidas extremas são necessárias, Wolff recruta seu irmão distante e altamente letal, Brax, e os dois descobrem uma conspiração mortal, tornando-se alvos de uma rede de assassinos.",en,"Mistério, Crime, Thriller",Gavin O'Connor,Bill Dubuque
1379587,Um Lugar Chamado Utopia,2024-12-09,5.162,34,275.7953,"Um soldado infiltra-se em uma instalação de alta tecnologia à procura de sua esposa desaparecida, mas encontra um parque de fantasias futurista onde realidade e ilusão se confundem, arrastando-o para um jogo mortal onde nada é o que parece.",en,"Mistério, Thriller, Ação, Ficção científica",James Bamford,Ian Neligh
1240475,缉恶,2024-02-12,4.8,6,283.354,,zh,Ação,Chris Huo,
1239193,Improvisação Perigosa,2025-06-12,6.757,136,265.659,"Kat é uma professora de humor de improvisação que começa a questionar se perdeu sua chance ao sucesso. Quando um policial disfarçado oferece a ela um papel decisivo, ela recruta dois de seus alunos para se infiltrarem nas gangues de Londres disfarçados de criminosos perigosos.",en,"Ação, Comédia, Crime",Tom Kingsley,Alexander Owen
